testnet address,score
0x18d84af02c878793f3152b0d3ca4f0afe773761516cdee84,10
0xa69a038a91e3e8ac8aeffe20e4d607deb9cc4f10e9ecb6e7,75
0x7ccc2b80de616a680679d1886445032f7df95cd9d52dbfe5,17
0xaa9d0a268b72a0ad1c9ce65ae4131e7b4b4132253ec9f716,11
0x0d42d8d90cf793461011bd6cce9ed26022f05da94ae2dce4,5
0x39aa9b55aed219251effa6a981268bcd045c66e481c64f35,10
0x0cd80e6d25376072520c2b93d74a39fbebb7be8662ea8b78,11
0x8eb6708bf276e2371ce2345fc74347a3cacc1b34569b0c7c,9
0xf2f439fe7ab1d614afed95b547c6231f984e082b563b3139,17
0xf868833b9ce02767bf62a23d58750e8150c36ebb54e832df,11
0xdbe9dae14b69d8ffea914f3b3c4da4020e67fb3a0994020b,5
0xdff0a4dcc437429fd3c5a394acb2193f5c060ce1dab2a16a,5
0xc208679f1c2903a32f25a28c5bce9759633b7a21a763c844,11
0xa93c50820eecf45e23fe5440ec340a5855992cd82b695cb2,5
0xf326c232b48e88f3db2ada5909c48775aa62007e32d4ec2e,5
0x4a9565722f3e4e66aca7e8d7c44d4f756b1a148fb8228908,6
0xe76cae8dc238ca2df724f337a980547372faa2b560967536,5
0xe6286d239381fbe01724ceb2770357a7d6186c93389d1993,25
0xf6665147b5888614bdfd25211fde79e015fd13c01ac85fb9,6
0x97511afc8f624a7f2592612f235f381dea72ba74b2454a24,5
0x8d5e33caa1420720be321c29a856aa0ef168001fcdf290b1,25
0x4c05c2dec95364cd622f013882e60e4719742b453a161c92,12
0x37580a97131ce37f874c9071a4cd8ff28382ff7bfcbc90da,11
0xeb7840a6ef3d93ae13110315319a8a06aae8a43a209ee027,5
0xb222cf1b0803ca07b2f18dc3c3004e7e75c94c95a5a1d5de,25
0xd3f9d378d6a0a43ed8ecd9fccea0dcff42f2e5f842eefdc3,16
0x45502705dd1451f5c96260e2d9cdc47da1c584c68e85ca65,10
0x6570cd65666cf0ef4bbcb3da0e2e639b82ae874621f5d98d,14
0x36093b10ebac4014a1dce93ee9227dfa60b55d518542cebe,12
0xfcf8629d120a454a9b90f7e5bbb45705354a55c102455822,5
0x5b6f51ae7dc685d8aa8f7c55cd375e06afe2c758da487e6f,6
0xc52d255bb99f86ca5683cc65eff4c724252564611fd2eb8e,11
0xbc1984e1e675f56c4a0bceab36415ccda04533e46803bb23,9
0x0f2264461754822c4540465fccf56c90968bfaed2a5bb385,13
0x4e6bfcd4dcb310a759ed0b8e2503f861318dbd00410c066e,16
0x70edbc79d0ece74140255f9b2df54e10f1a786e43b741a7a,16
0x7c72cf2fc68074961b96eb5b84130f346732189569af23de,10
0x059a8528ebb84c43e941c15ac9a179a5986f0d8445d9a0f8,11
0x02aa999dc771e830828679d830f1cdf0e440170d50371bf7,5
0x8751ef83408187e0f5130534bf671f09fc4294a60278f8e7,11
0xff8be5191f148eee827d42ed8a466b61ae31692dca089405,10
0x70114f6d2d8abb97fc7ad35ad796265fcd68605e3b27b0dd,5
0x15604f03a72a69fc2ad11e709ffe2cabce9f38125f946f45,6
0xcda1bb25ea2edbde05d49c8893657e92fde4c83785009c4c,5
0x3ee4900e7ed0b790f594424add24dc232e6345f82b2d6b3d,10
0xead12300f8f75cb80b9b6fec8c3628e1f4ecb3d6ebdcec4b,10
0x24f2fd4342a6227639b6dfb6ac9f98a73d2e9851dd99fca4,9
0x9b58ff9fa5b66f0846cddb460c0e671d01ed77206caf2dce,5
0x68048b4de32c94bd7f26d662fb6839a0f907c6175c1e05ca,11
0x84c41cc4ca8d9112f41afd3bea32f796d8107bdd5fdbd28c,5
0x1fcea880f90e3f5d971b5452557841261900e2778fe26836,5
0x74ab6655984259b8683103bbe8b86677bc0776e7e370fd73,11
0xfb4d226f7c444e4347dde6fa0d5291b537ba0b642a2c8f91,25
0x4007e46ac588dbce0e1bd4073bc95a0f695aae02f583adde,5
0xb0703e7d0468c565f9000cf07a049ef85639987f2da56726,40
0x0fad1b5055f8f1525b500698e833c9aa6693f96e78a1c561,5
0xe6fe6ea23407bfd57b0b6cf47486765da65c4540d7236b13,5
0xe987fb2e4d4f5dbbd6e8650ac6b8aa2d3576776341b4ce39,10
0xb000e89bda13eb630061c7df1337b0e368373e318eff9696,25
0x1cc366ab221255d0dbf025cb30bf1a11148d8848706e24bf,25
0xce236629ee6a183f0f30ff5810a3f25c96730b1d5a5f1aaf,5
0x92f1d381924b7cba23e49b93bcf13e049ade90243f47dea5,5
0x923bba8d015dbd1cbd35af2a95a562a684164c3e735d0635,12
0x7e371cb74dc427288842a2819d8eae5eda68b2cea4dd9184,6
0xd85cf759c5326b32c0e51a8b09986b2bbccc5934b5c8f4d6,5
0x131c8bddda741b03cc136461017e86c65f3347c6d5a70d72,14
0x51442e8bdbd0acc54e859bc4cfe6dc218f54041213300e7f,5
0x49ee829c8d8736cd8a7e1a53b3b83c20e90091534a9fa6f3,5
0xb75b9a0ed4bc06c82dcab8646a07ec70209a5f851d18b2fb,11
0xa96c72a588cb9c3c33305c59d4b4902d5a25a2cad92e4525,11
0xaeb671cf272f449f683cf6bfe62fee6b6adef18fd36b3ff4,5
0x717befe0f85b58484bc3ccfb3d4a30549518011b6c53c276,12
0xd11b811ac2dbdd49c420b95297fca33ec1028b8f2f91ff91,8
0x61f7160abf1d3dedbad545ec854fe209256f231a8dcce165,11
0x2d59e365aa465caeda871eaf0a68aa2d5a95239db51493ff,7
0x39b1937c6442aabf8009ca1604a68ea623659ffdeb36d17e,5
0xb766fd5de98974966ea55973f3665952d2905abec69744d4,12
0x1cd1e1602fc9e369121348d7faefc33bd69baab296323d40,12
0x33be418e278d702817d902b5596c2c9f09517c37389a83b2,5
0x2c054a5d51ab5e972bf4606c10856010794ad4b34420ad64,15
0x15e7ebdfee80f2c86ca5fad8180b416efd239a2de42747dd,11
0x5280de19a0bcd5378a2d891d3afefb8f140b5ac74d15ef97,7
0xe2dbb9017da1fb254ebb456aff9b0012b115809395024808,6
0x205873149a9422953e2c42e1e0f8f510661b53ffa0ce74c9,9
0xfaeecb2ef295d1505cbd3b4f78e6f6cbbceea592abd1cfd7,30
0x3fe8141f710793c44ba6bea2088cc92e1ab9ab8abff325ea,5
0x702755a959ede32db71e53006802dd3ab659399147eab2d9,14
0xc6a11e99b2828d7e624f0c496f9af3c1ffb8c9037d8f724c,17
0x624bec4c230959ec683e20ea5b24570d769049f534d73145,11
0xb884db49b8116958625732ec3dcb28bc22807c5f56e56c4a,11
0x7a0fa2984b74197b5a061289894ca2841b699533c9c6290b,5
0xe0f2ef060f9f37f82ad5fe1a2f248061077a89d20d2d8518,13
0x2b6c1fb11ab9e8c6dee22fa10aea00779c6e0f01fbf624b2,14
0x54a83b36b37bda02bdf0b18681829ffab6629db90bfe5989,12
0xad59b963b8e1965f57c4b5ae79afab25192e58f29af8954d,5
0xd51decb36abe442194882012897cc02af650d34284816d31,5
0xab8aff4a0416cfe543852aa47634c02594cec1bccb33d9a9,8
0x1e0dc940d2164d42dd79cbced87b898ba73e0ed7a34d0e66,17
0xab12e159611ca8287996237049bf4ba71104d41a504479f6,5
0x1e2025d8d40870cf095859db1a918d8cf628cc6c5e4530c4,5
0x7d555989b385ba67b18b191810ac6c78cec6530b2b9645d7,5
0x1336b4c5380dbf71ea91c9f920d9e1b8dd1fc27ae75296c9,17
0x17c45746dc7337571aedf3219182685a129148a44d467f7e,30
0xca0458c4f88c8c04e6b404a3bc97e248d6e43ad445337bae,6
0x5ac2712083b40e581f24a9a7c39726c7a00fa00a8fe6fbdf,12
0xd3d366836063740954d32aa3dc1006b7d647bf8ff23dec48,10
0x702cbb8017da07064128450cb43d95f90dc4d7e781e5cec2,5
0xec7fb5955158f24b97bac29969b0ae50d845a76101727fa1,12
0x17a9f0c5dd58307a57915244acdadbafaf8730181372042d,5
0xff65c71cb2193986f3b412ac2259f0b4375517d56ce243a8,11
0x3f0fc25aee0b0703e97c4f55206b6bec9cd7cdda348ae691,25
0x7bbbc9bcfe47261c017158dc87424612ac62d43ee373f82c,12
0xd68dacd01d8c2d72580820ebcffd8017285b0633bf3a36f6,26
0x10c52a12e334c263a9db2114859ffc5c1bab4dcfdbf2d61b,10
0xe44e1d2cd781beda0d7b24ee8e186fa72bd3e47abdef04eb,15
0x1512b3ce49160a2a55e94479cfd66a9d447766ffa8884cb2,7
0x4c436d925d3a8fef42d12e24824b9791ae71dd696b31b13c,12
0x7f4d0b32860eae36148e7a80a24b4d2b35cf4b4f07937298,11
0x8c8411be48801e1ebc103af95e35c61d223c3da0294a0984,5
0xa7d8e60dde892dd1bea0702042bd7bb8dde67c2a6468cdce,10
0x778e5c9fc3aadccc3f4ff7fb006456d1544208acb25efebf,16
0xd585a55d77a4ba0d530bb9293d9d91150b875952cd52c32d,16
0xfda39ca3c6cbafa655687b72b91fed9c7ebc4ec10242a75c,25
0x6143d01341fd3379d4c693a43d5c46bd632b3301a4a2ec2a,12
0xb024f3b4a016c6349f4672393e859744adb4e8a57f17bb00,9
0xddd88461b3465923a02f9cde3095b63b5127cd9cc3396ca7,5
0xa877b89f109dbd6777e99365fba60f333fe0e9378c6599a2,25
0x7565b430e2da7099148656f537bd5c44150b0abd6e6b5912,5
0x05ed9ac648e6c3ef097d6d4537855e19f1b169f75343faa3,9
0xe9a37d69e8eaaa1a73223b70c0554002b0c4e0cc42a945e6,5
0x0f0005b09c7f6f577a8851e117a04a145812e3d3d2850a24,6
0xf08403841c2c47bea1670e3b9b5738f36b17f3796bfd1fa8,5
0xdaf967f15b50e6b85ad57e333fd7ccf41d9d3bc5b6eeb6e8,10
0x66ea0e0220b9cf89f751ae9c34971f8f8fb910477d37f4ca,5
0x8292c0b0b151c47d727b7b36c73ae593772495669f805fac,25
0xaaf70ff4f4d5fc603f95e7bbf963fdedae2497dc72a6ff3b,9
0xca0b379f7e8d87f55890c23d67c54e06aa0d6eb5f06d39e3,5
0x29257c873d7d9b2bc5d8107889a145fa103ab0f76803a03c,5
0xee838912c31d240790559d1acd627fac8dc8ceef4f4bcdff,12
0x94274065f339f817f9bfd7802a68be4b6730823a77f65d79,9
0x39fb25d97ab97d57f3cc65da1d89cab479d310ff8efcc463,12
0x0b0a463d966ee8a94559862699348ff8d07f508b24c60162,11
0xad77e240d15105d01553bd4cfaf5f9b9a95e84b91a7b08f1,12
0xffbb8e81c93784e8213af7c501b8334145e21eb31cc957a8,12
0x88cbd138a5fc53e96a0ef4566dabff47ad0ce2209721af67,5
0x8c7183cdb92aad1595d4500220b900ffa3d573d22dc95d1b,20
0xf995cfc4708c5a82ccf483b3ec580bb0a3279536154446ef,5
0x8115ebaf47d01d40b97abbdc9d25568c19b7c4e606a83469,65
0x50864edb1f554402eebd65d7fcbe22f5423c73bc1e1e9410,5
0x9d79e2cc4487010e38ca5c9075fba437bcdade9220b57410,11
0x8cdf6c2f210a7982b0be60e990ce01775b4727ef33dccaca,10
0xbe709e6e52c0bb4e6b391ffb9b1e2e26258f43e55545bf26,11
0x02851f5f2e8dcf5eaf108e1390749cc890530223d3ee0ba0,6
0xe74b92da9ef603b01d32f33f91994e9dc1f32f854449eccb,5
0x91d4f39578ef80fb8606b592b0af6e8b65e0d1727cc7666f,5
0x9a01b782c6ec724cb0f7495a201ea120feb9f050e5ec1857,30
0xd57040c4b5497836d27e1ad106a33869a90396c94b22fa75,5
0x9ad5391c3203a5fff3192c898c72339b6c9f144e1a24c57f,5
0x03fb5e312769969a9725678c5b807c403619b9239296658c,9
0xb8d6577c7f98bf1b78e798497bafe4bc810a3425cc41d26e,12
0xeb6ad3ffa0fb816ad20f7b34da8c17d71481ec062a272c3e,16
0x374b44198a1a6eeef97b1cc4c51cc3bd42ecba168569b54e,14
0x85ed32ccb1cf8a295ad99543d06afb2786e667644cff24aa,17
0xc8834f61958afc2b2a429003a7ba66fb99ecece9bdede154,6
0x5a258b8bbfdcc7dc9cd5359ee23be6e01a672bfb473bdbde,12
0x81a7d51add44a03d3341c4e40e7804ad76ffcd653e0bc0a6,25
0x97073bf94ca378dd09e8fdae455a0d08592acd0ac63b89f3,5
0x0ee96bf6caa337c94c3a0b2b072aca13c8980a552131a98b,5
0x6289894a4243008379408737586e13595adfba78c9eefa29,5
0xade0a19d04e823f1b08d362bd414e0127d86c63ece17513e,5
0x76be9244d8a222488f10933e82241f8dbe541d53a01f1a41,8
0xfa1b30e4ef9fa11d0de3a7dda2dedc4d2e989d8597a365ae,6
0x77369e688e746ba88a3c6323adc37558b649ccd8bd5383a4,10
0xc9f71da54ec780a49fd81f7d33fa15dbb9af1663f16f67d5,6
0xfe7f04d33221e3baae1143e72eb4b3d9a8526f33481781f0,15
0xd6f615c87244736deace914b79d0c1028a3cbc16bd1f9d3b,12
0x2f444cbe0f9255cbc8d04f36e859f89284b972e74b3d3a4a,45
0xf8389f1fd41908c31f34d4f75eb2969d5621eb62f727dd6c,12
0x163445f2713e5cb76d9e077761fdcc6191f0935f0d5381e5,7
0x4b0fa0a30e70d6f36673205bedeeb58f26ac8ac210dda7e3,12
0x6f9cd6f5a775a183abd0742eb7b08eaf696e9187756676d3,5
0x21e6697c239c3b368c354e361e8438ef36d298ca366cca89,5
0xc23a43c6db9f2b6c5933021b5503f47b7dbcc083aa7581db,16
0x94fdb82437065bef8da50f22f442feb719b228fe8beb3b95,22
0x12c260b4c19b043ca2b1bfaaac705bbeb320dae3b274bbe0,5
0x3d602ccea598e14aad30831960406a9e30de20c2a32ebeba,17
0x8c26a311306c515d591e5221e794d55c95390d4ea175ae08,10
0x0e7254571e8ff142e19df9cb91fc9ccfdfe5147e1db6753d,11
0x6be60ffa9dbb397726df521001b3aa63d1830e038b3bdc1f,12
0x5cc121b68302d55bb5cc0b6f3f201b6dfd6de33ab4699b4d,11
0x95c4814eea5d0dcfb9554dcf630caf3e9b73408824262caf,5
0x4e229392cd9d2d59e8af73e25e1e9369da85dcd9421f497d,5
0x82c79cfb57ddea9b445030d367d6b56a2e3105b915390d51,18
0xc195974b7aa4ffafe16e69696a2ae1fbd580ff9a0f530df1,11
